X_Value		Untitled	X_Value	Untitled	X_Value	SP
0	0	45.891947	0	47.031115	0	0
19.222922	13.222922	45.585778	13.139314	46.96028	13.139314	0
19.764977	13.764977	45.578327	13.746374	46.926339	13.746374	0
20.178018	14.178018	45.552277	14.30543	47.059814	14.30543	0
20.681068	14.681068	45.560955	15.052505	46.929052	15.052505	0
56.569656	24.569656	45.738087	15.592559	46.884356	15.592559	0
57.040704	25.040704	45.907166	16.20762	46.89518	16.20762	0
57.464746	25.464746	46.170825	16.916691	47.001107	16.916691	0
58.033803	26.033803	46.22385	17.468746	46.958921	17.468746	0
58.578857	26.578857	46.628174	18.179818	47.00247	18.179818	0
58.995899	26.995899	46.939907	18.80788	47.036578	18.80788	0
59.488948	27.488948	47.001107	19.379938	47.183412	19.379938	0
60.112011	28.112011	47.252504	20.151015	47.479894	20.151015	0
60.546054	28.546054	47.51929	20.722072	47.86541	20.722072	0
60.964096	28.964096	47.712063	21.390139	48.031901	21.390139	0
61.596159	29.596159	47.782102	22.058206	48.444741	22.058206	0
62.090209	30.090209	48.176645	22.60126	48.655245	22.60126	0
62.50325	30.50325	48.291624	23.336333	49.013382	23.336333	55
63.055305	31.055305	48.330136	23.915391	49.322767	23.915391	55
63.620362	31.620362	48.711344	24.484448	49.40501	24.484448	55
64.039404	32.039404	48.893114	25.216521	49.783584	25.216521	55
64.515451	32.515451	48.984003	25.751575	50.017319	25.751575	55
65.144514	33.144514	49.095618	26.385638	50.113079	26.385638	55
65.580558	33.580558	49.435164	27.062706	50.474681	27.062706	55
66.0026	34.0026	49.462192	27.594759	50.778727	27.594759	55
66.61166	34.61166	49.60764	28.284828	50.77011	28.284828	55
67.126712	35.126712	49.845371	28.90389	51.042836	28.90389	55
67.546754	35.546754	50.017319	29.441944	51.127114	29.441944	55
68.076807	36.076807	49.976215	30.194019	51.222437	30.194019	55
68.667866	36.667866	50.206068	30.750074	51.486505	30.750074	55
69.094909	37.094909	50.365029	31.347134	51.678214	31.347134	55
69.554955	37.554955	50.251091	32.062205	51.743821	32.062205	55
70.184018	38.184018	50.585064	32.60126	52.090626	32.60126	55
70.646064	38.646064	50.694472	33.254325	51.894215	33.254325	55
71.071106	39.071106	50.768387	33.913391	52.178445	33.913391	55
71.663166	39.663166	50.694472	34.454445	52.372497	34.454445	55
72.195219	40.195219	50.901573	35.172517	52.257307	35.172517	55
72.618261	40.618261	51.153538	35.768576	52.610995	35.768576	55
73.131312	41.131312	51.07439	36.328632	52.603312	36.328632	55
73.742374	41.742374	51.16412	37.090709	52.765393	37.090709	55
74.166416	42.166416	51.316526	37.636763	52.899684	37.636763	55
74.60046	42.60046	51.345034	38.271827	52.835327	38.271827	55
75.230523	43.230523	51.362876	38.947895	53.005516	38.947895	55
75.717571	43.717571	51.54415	39.484948	53.137735	39.484948	55
76.144614	44.144614	51.618297	40.182017	53.078407	40.182017	55
76.751675	44.751675	51.4937	40.827082	53.260993	40.827082	55
77.288729	45.288729	51.75478	41.400139	53.2291	41.400139	55
77.70677	45.70677	51.883166	42.160215	53.336973	42.160215	55
78.244824	46.244824	51.793193	42.70527	53.475794	42.70527	55
78.840884	46.840884	51.923717	43.340333	53.413288	43.340333	55
79.282928	47.282928	52.150368	44.023402	53.705557	44.023402	55
79.781978	47.781978	51.964366	44.580458	53.658545	44.580458	55
80.41104	48.41104	52.099947	45.326532	53.522315	45.326532	55
80.873087	48.873087	52.09249	45.957595	53.963292	45.957595	55
81.30713	49.30713	52.146628	46.590658	53.756801	46.590658	55
81.941193	49.941193	52.225343	47.350734	53.824674	47.350734	55
82.438243	50.438243	52.399044	48.059805	53.969524	48.059805	55
82.860285	50.860285	52.368708	48.866886	53.992396	48.866886	55
83.435343	51.435343	52.372497	49.454945	54.113486	49.454945	55
83.992399	51.992399	52.515197	50.127012	53.952909	50.127012	55
84.414441	52.414441	52.408535	50.860085	54.235417	50.860085	55
84.946494	52.946494	52.418032	51.465146	54.009048	51.465146	55
85.558555	53.558555	52.568778	52.270226	54.163838	52.270226	55
85.984598	53.984598	52.599471	52.90929	54.39222	52.90929	55
86.449645	54.449645	52.649465	53.577357	54.084181	53.577357	55
87.089708	55.089708	52.469403	54.258425	54.343334	54.258425	55
87.534753	55.534753	52.655243	54.841484	54.303052	54.841484	55
87.962796	55.962796	52.62445	55.658565	54.205908	55.658565	55
88.559855	56.559855	52.547708	56.229622	54.383708	56.229622	55
89.099909	57.099909	52.657169	56.890688	54.381581	56.890688	55
89.530952	57.530952	52.78285	57.601759	54.458324	57.601759	55
90.074007	58.074007	52.664877	58.216821	54.417779	58.216821	55
90.672067	58.672067	52.742145	59.046904	54.271316	59.046904	55
91.10711	59.10711	52.956439	59.689968	54.381581	59.689968	55
91.593159	59.593159	52.874303	60.373037	54.292467	60.373037	55
92.230222	60.230222	52.77121	61.132113	54.501103	61.132113	55
92.674267	60.674267	53.042908	61.826182	54.462597	61.826182	55
93.10331	61.10331	53.005516	62.601259	54.643015	62.601259	55
93.742373	61.742373	52.736338	63.170316	54.675426	63.170316	55
94.242424	62.242424	53.013382	63.889388	54.430573	63.889388	55
94.675467	62.675467	53.042908	64.571456	54.653812	64.571456	55
95.258525	63.258525	52.897731	65.268526	54.561169	65.268526	55
95.821581	63.821581	53.070512	66.015601	54.658133	66.015601	55
96.251625	64.251625	53.137735	66.599659	54.823107	66.599659	55
96.780677	64.780677	53.001585	67.367736	54.539694	67.367736	55
97.381737	65.381737	53.058677	68.048804	54.677589	68.048804	55
97.81178	65.81178	53.110023	68.690868	54.58052	68.690868	55
98.249824	66.249824	53.15359	69.455945	54.556872	69.455945	55
98.886888	66.886888	52.905547	70.028002	54.770844	70.028002	55
99.369936	67.369936	53.123873	70.767076	54.608507	70.767076	55
99.811981	67.811981	53.20323	71.419141	54.961034	71.419141	55
100.41504	68.41504	52.983905	72.062205	54.829651	72.062205	55
100.952095	68.952095	53.217155	72.819281	54.690572	72.819281	55
101.392138	69.392138	53.286948	73.416341	54.871151	73.416341	55
101.940193	69.940193	53.044879	74.146413	54.720903	74.146413	55
102.522251	70.522251	53.106068	74.793478	54.934679	74.793478	55
102.957295	70.957295	53.149625	75.40854	54.697067	75.40854	55
103.447344	71.447344	53.173429	76.187618	54.762149	76.187618	55
104.085408	72.085408	53.131793	76.777677	54.998436	76.777677	55
104.537453	72.537453	53.377097	77.527752	54.759975	77.527752	55
104.968496	72.968496	53.223127	78.169816	55.097822	78.169816	55
105.614561	73.614561	53.094208	78.815881	54.840563	78.815881	55
106.101609	74.101609	53.306941	79.559955	54.807848	79.559955	55
106.536653	74.536653	53.292944	80.170016	54.950048	80.170016	55
